Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Candles,ExitReason,SessionMultiplier,RiskPercent,SL_Distance,TP1_Price,TP2_Price,TP3_Price
35,LONG,2025-07-21 11:30:00,3819.66,2025-07-21 13:15:00,3775.34,60.0825077679684,-2891.0200675252017,-2.8910200675252016,228.16332324886002,-2891.0200675252017,7,STOP_LOSS,1.0,0.015,27.34271428571425,3872.2421428571424,3914.307857142857,3966.8899999999994
36,LONG,2025-07-21 14:45:00,3847.51,2025-07-21 16:00:00,3808.9,50.64801759349348,-2149.4109534762893,-2.149410953476289,193.89099419149971,-2149.4109534762893,5,STOP_LOSS,1.0,0.015,31.579785714285563,3908.240357142857,3956.8246428571424,4017.5549999999994
37,SHORT,2025-07-22 05:00:00,3654.73,2025-07-22 05:15:00,3689.59,44.76230930659216,-1724.788464171104,-1.724788464171104,164.37436174329548,-1724.788464171104,1,STOP_LOSS,0.4,0.02,18.673000000000044,3614.7164285714284,3574.702857142857,3521.351428571428
38,SHORT,2025-07-30 11:30:00,3753.03,2025-07-30 12:30:00,3773.38,93.55278183323445,-2255.8574066650494,-2.2558574066650494,352.05829635873704,-2255.8574066650494,4,STOP_LOSS,0.6,0.02,13.18049999999996,3724.7860714285716,3696.542142857143,3658.883571428572
39,LONG,2025-08-08 15:00:00,3983.41,2025-08-08 15:45:00,3927.76,46.86134497987615,-2793.197881412314,-2.793197881412314,185.3640332822234,-2793.197881412314,3,STOP_LOSS,1.0,0.015,32.16942857142866,4045.2742857142857,4094.7657142857142,4156.63
40,LONG,2025-08-08 17:45:00,4018.42,2025-08-08 19:00:00,4056.16,35.25153793526899,1188.0723600863619,1.1880723600863619,142.32068159068214,1188.0723600863619,5,RSI_OVERBOUGHT,0.8,0.015,33.26050000000001,4082.3825,4133.5525,4197.515
41,LONG,2025-08-13 04:15:00,4663.75,2025-08-13 06:30:00,4616.19,25.136926750556793,-1312.1468222712722,-1.3121468222712722,116.634586014781,-1312.1468222712722,9,STOP_LOSS,0.6,0.015,35.408285714285775,4731.842857142858,4786.317142857143,4854.41
42,SHORT,2025-08-18 01:30:00,4410.62,2025-08-18 02:15:00,4374.91,64.43065195465054,2017.789868467003,2.0177898684670033,283.02871283357047,2017.789868467003,3,RSI_OVERSOLD,0.6,0.02,18.174499999999988,4371.674642857142,4332.729285714286,4280.802142857143
43,SHORT,2025-08-25 00:45:00,4692.51,2025-08-25 01:15:00,4718.02,47.614069092956726,-1438.6717153720076,-1.4386717153720077,224.03681281067105,-1438.6717153720076,2,STOP_LOSS,0.6,0.02,25.101999999999997,4638.72,4584.93,4513.21
44,SHORT,2025-08-29 14:15:00,4286.06,2025-08-29 14:45:00,4309.51,84.0338364035627,-2331.7528252512157,-2.3317528252512156,361.1593615876858,-2331.7528252512157,2,STOP_LOSS,1.0,0.02,23.36249999999991,4235.9975,4185.935,4119.185000000001
45,LONG,2025-10-02 16:00:00,4435.49,2025-10-02 18:30:00,4483.37,40.36682771382792,1752.7506684262094,1.7527506684262093,180.01304251187562,1752.7506684262094,10,RSI_OVERBOUGHT,1.0,0.015,35.60978571428569,4503.970357142857,4558.754642857142,4627.235
46,LONG,2025-10-03 16:00:00,4533.2,2025-10-03 17:30:00,4496.56,41.63055963664057,-1713.300686178762,-1.713300686178762,187.95698109227578,-1713.300686178762,6,STOP_LOSS,1.0,0.015,35.16035714285711,4600.816071428571,4654.908928571428,4722.525
47,LONG,2025-10-06 17:30:00,4707.85,2025-10-07 00:30:00,4674.6,34.8729641104869,-1323.122977732908,-1.323122977732908,163.59692105921891,-1323.122977732908,28,STOP_LOSS,0.8,0.015,32.9893571428571,4771.291071428572,4822.043928571429,4885.485000000001
48,SHORT,2025-10-07 15:00:00,4591.68,2025-10-07 16:30:00,4480.91,79.69872656846879,7344.609766638787,7.344609766638786,362.09769507904787,7344.609766638787,6,RSI_OVERSOLD,1.0,0.02,23.72600000000002,4540.838571428571,4489.997142857143,4422.208571428571
49,SHORT,2025-10-15 15:00:00,4007.86,2025-10-15 17:45:00,3966.58,87.62197110101347,4603.693410435707,4.603693410435707,348.7003961935932,4603.693410435707,11,TRAILING_STOP,1.0,0.02,23.25699999999997,3958.023571428572,3908.187142857143,3841.738571428572
50,SHORT,2025-10-16 15:45:00,3951.36,2025-10-16 17:00:00,3962.79,89.0295337264608,1423.458048086565,1.423458048086565,350.900559081804,1423.458048086565,5,STOP_LOSS,1.0,0.02,23.923499999999965,3900.095357142857,3848.8307142857147,3780.4778571428574
51,SHORT,2025-10-29 18:45:00,3861.09,2025-10-29 19:00:00,3915.29,70.08112380434552,-4070.885634960333,-4.070885634960333,272.48872476481824,-4070.885634960333,1,STOP_LOSS,0.8,0.02,24.638500000000047,3808.2932142857144,3755.4964285714286,3685.1007142857143
52,SHORT,2025-11-03 15:30:00,3634.6,2025-11-03 16:15:00,3605.9,121.84023103672321,4184.527194012993,4.184527194012993,440.52797614099717,4184.527194012993,3,TRAILING_STOP,1.0,0.02,17.046500000000037,3598.0717857142854,3561.5435714285713,3512.8392857142853
53,SHORT,2025-11-04 17:00:00,3428.29,2025-11-04 18:30:00,3319.04,70.5112194581959,5612.566324955411,5.61256632495541,238.80722178296924,5612.566324955411,6,RSI_OVERSOLD,0.8,0.02,24.513999999999985,3375.76,3323.23,3253.19
54,SHORT,2025-11-06 14:45:00,3335.82,2025-11-06 17:00:00,3275.64,142.14455089098624,7119.292347595313,7.119292347595313,470.37380267803314,7119.292347595313,9,TRAILING_STOP,1.0,0.02,15.99000000000003,3301.555714285714,3267.2914285714287,3221.6057142857144
55,LONG,2025-11-10 01:00:00,3634.14,2025-11-10 05:45:00,3599.7,35.493844098572936,-1350.7863853518643,-1.3507863853518642,128.3783945970104,-1350.7863853518643,19,STOP_LOSS,0.6,0.015,30.6215,3693.0274999999997,3740.1375,3799.0249999999996
56,SHORT,2025-11-13 13:45:00,3437.38,2025-11-13 15:00:00,3441.72,182.22657469798145,1837.6415697864118,1.8376415697864117,625.1505872568258,1837.6415697864118,5,STOP_LOSS,1.0,0.02,13.105999999999993,3409.2957142857144,3381.2114285714288,3343.7657142857142
57,SHORT,2025-11-14 04:45:00,3150.53,2025-11-14 05:30:00,3170.19,49.81413417665896,-1136.7764749996538,-1.1367764749996538,157.4305970865459,-1136.7764749996538,3,STOP_LOSS,0.4,0.02,19.472499999999943,3108.8032142857146,3067.076428571429,3011.440714285715
58,SHORT,2025-11-17 19:45:00,2987.93,2025-11-17 21:15:00,3018.99,85.23441764763199,-2903.3791761634016,-2.903379176163402,255.99816402795673,-2903.3791761634016,6,STOP_LOSS,0.8,0.02,22.54750000000001,2939.6139285714285,2891.297857142857,2826.8764285714283
59,SHORT,2025-11-19 15:45:00,3001.88,2025-11-19 18:45:00,2882.37,112.74311440972558,9026.397623662257,9.026397623662257,333.7612208620049,9026.397623662257,12,RSI_OVERSOLD,1.0,0.02,20.792499999999926,2957.3246428571433,2912.769285714286,2853.3621428571437
60,SHORT,2025-11-20 16:15:00,2897.5,2025-11-20 18:15:00,2856.91,99.38352853241408,5688.4699320093005,5.6884699320093,284.9770504314494,5688.4699320093005,8,TRAILING_STOP,1.0,0.02,25.404000000000085,2843.062857142857,2788.625714285714,2716.0428571428565
61,SHORT,2025-11-21 02:45:00,2810.8,2025-11-21 08:15:00,2741.67,61.17039574527234,3830.7288072827696,3.8307288072827697,169.93741524954535,3830.7288072827696,22,TRAILING_STOP,0.4,0.02,17.253500000000006,2773.8282142857142,2736.8564285714288,2687.5607142857143
62,LONG,2025-12-03 14:45:00,3130.27,2025-12-03 15:00:00,3074.79,69.57436768607144,-4075.842482200312,-4.075842482200312,215.85656297706723,-4075.842482200312,1,STOP_LOSS,1.0,0.015,29.268571428571413,3186.555714285714,3231.5842857142857,3287.87
63,LONG,2025-12-04 16:30:00,3208.45,2025-12-04 17:00:00,3167.16,57.37870999838693,-2552.079074459802,-2.552079074459802,182.91213862640785,-2552.079074459802,2,STOP_LOSS,1.0,0.015,34.42399999999994,3274.6499999999996,3327.6099999999997,3393.8099999999995
64,LONG,2025-12-10 16:30:00,3355.75,2025-12-10 19:15:00,3397.23,82.48972374417383,3143.1480135833667,3.143148013583367,278.5257273249655,3143.1480135833667,11,RSI_OVERBOUGHT,1.0,0.015,23.480785714285705,3400.905357142857,3437.029642857143,3482.185
65,SHORT,2025-12-17 16:30:00,2847.04,2025-12-17 18:45:00,2824.43,101.6221443900493,2009.5032130371112,2.009503213037111,288.1734716219164,2009.5032130371112,9,RSI_OVERSOLD,1.0,0.02,26.031999999999993,2791.2571428571428,2735.4742857142855,2661.097142857143
