Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Size,PnL,Commission,Net_PnL,Exit_Reason,Duration
SHORT,2025-08-19 23:45:00,2025-08-20 00:45:00,4095.57,4111.5805,5.60681701193098,-89.7679437695202,23.007995521438925,-112.77593929095913,Stop_Loss,4
SHORT,2025-08-25 00:45:00,2025-08-25 01:15:00,4692.51,4717.612,3.5222146640916727,-88.41463249802868,16.57223484964583,-104.98686734767452,Stop_Loss,2
SHORT,2025-08-28 14:30:00,2025-08-28 14:45:00,4552.81,4567.565500000001,9.84432811379433,-145.2579834830943,44.89198447150551,-190.14996795459982,Stop_Loss,1
SHORT,2025-08-29 01:30:00,2025-08-29 01:45:00,4448.0,4461.399,6.334277966594464,-84.87299047440139,28.217304890649377,-113.09029536505076,Stop_Loss,1
SHORT,2025-09-01 16:00:00,2025-09-01 17:15:00,4359.69,4328.351785714285,4.758903833180699,149.13554808932466,20.672777678434898,128.46277041088976,TP1,5
SHORT,2025-09-01 16:00:00,2025-09-01 17:30:00,4359.69,4325.005285714286,4.758903833180699,165.06121976705788,20.66481484259603,144.39640492446185,Trailing_Stop,6
SHORT,2025-09-01 20:45:00,2025-09-01 21:00:00,4268.81,4282.6410000000005,8.366733379996063,-115.72028937872665,35.77385526455036,-151.49414464327702,Stop_Loss,1
SHORT,2025-09-01 21:00:00,2025-09-01 21:15:00,4286.01,4255.790357142857,4.016890021784596,121.38898185475307,17.15573631134162,104.23324554341144,TP1,1
SHORT,2025-09-01 21:00:00,2025-09-01 21:30:00,4286.01,4260.987857142857,4.016890021784596,100.51119596652676,17.166175204285736,83.34502076224102,Trailing_Stop,2
SHORT,2025-09-02 12:00:00,2025-09-02 12:15:00,4346.05,4323.235,2.7307606679187892,62.302304638568565,11.836871248489171,50.4654333900794,TP1,1
SHORT,2025-09-02 12:00:00,2025-09-02 12:30:00,4346.05,4329.326,2.7307606679187892,45.66924141027427,11.845187780103318,33.82405363017095,Trailing_Stop,2
SHORT,2025-09-04 02:45:00,2025-09-04 03:15:00,4425.98,4402.957142857143,4.106231400699882,94.53717893382697,18.12682946540275,76.41034946842422,TP1,2
SHORT,2025-09-04 02:45:00,2025-09-04 03:30:00,4425.98,4409.759142857143,4.106231400699882,66.60659294626394,18.14079475839653,48.465798187867414,Trailing_Stop,3
SHORT,2025-09-04 14:15:00,2025-09-04 14:45:00,4336.82,4356.374,7.6483255011857425,-149.55535685018668,33.24418867847744,-182.7995455286641,Stop_Loss,2
