<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/2/2025,12:00:00,3471.00000000,3475.00000000,3467.09000000,3470.57000000,19048988
1/2/2025,12:15:00,3470.58000000,3481.07000000,3470.58000000,3477.21000000,31138580
1/2/2025,12:30:00,3477.20000000,3480.73000000,3469.07000000,3471.15000000,21983724
1/2/2025,12:45:00,3471.16000000,3474.70000000,3465.03000000,3472.67000000,13437758
1/2/2025,13:00:00,3472.68000000,3480.35000000,3472.67000000,3479.98000000,16763302
1/2/2025,13:15:00,3479.98000000,3484.54000000,3459.63000000,3461.76000000,78914670
1/2/2025,13:30:00,3461.75000000,3468.23000000,3458.91000000,3467.66000000,28299425
1/2/2025,13:45:00,3467.66000000,3473.92000000,3463.47000000,3469.01000000,19198363
1/2/2025,14:00:00,3469.00000000,3469.00000000,3458.55000000,3465.31000000,23393851
1/2/2025,14:15:00,3465.31000000,3466.81000000,3439.57000000,3458.35000000,81936820
1/2/2025,14:30:00,3458.35000000,3463.70000000,3448.00000000,3462.36000000,24393630
1/2/2025,14:45:00,3462.36000000,3511.14000000,3459.06000000,3478.97000000,182985890
1/2/2025,15:00:00,3478.98000000,3497.77000000,3477.59000000,3494.53000000,60956796
1/2/2025,15:15:00,3494.43000000,3495.68000000,3477.50000000,3484.68000000,37108001
1/2/2025,15:30:00,3484.68000000,3487.94000000,3455.54000000,3468.42000000,57705943
1/2/2025,15:45:00,3468.40000000,3471.07000000,3455.34000000,3461.81000000,39027791
1/2/2025,16:00:00,3461.80000000,3469.79000000,3456.00000000,3462.76000000,27653367
1/2/2025,16:15:00,3462.75000000,3470.62000000,3447.43000000,3467.99000000,36305417
1/2/2025,16:30:00,3468.00000000,3484.12000000,3467.05000000,3480.47000000,32411113
1/2/2025,16:45:00,3480.47000000,3488.87000000,3475.59000000,3482.61000000,26711226
1/2/2025,17:00:00,3482.61000000,3483.06000000,3467.09000000,3468.82000000,25657272
1/2/2025,17:15:00,3468.81000000,3478.37000000,3465.23000000,3476.54000000,14287138
1/2/2025,17:30:00,3476.55000000,3478.09000000,3461.13000000,3462.34000000,17141260
1/2/2025,17:45:00,3462.34000000,3462.60000000,3440.52000000,3447.57000000,61531946
1/2/2025,18:00:00,3447.55000000,3451.53000000,3428.00000000,3449.67000000,63685620
1/2/2025,18:15:00,3449.67000000,3459.31000000,3439.42000000,3451.92000000,30157115
1/2/2025,18:30:00,3451.91000000,3462.54000000,3448.72000000,3458.30000000,16720126
1/2/2025,18:45:00,3458.29000000,3458.29000000,3447.72000000,3453.61000000,41633464
1/2/2025,19:00:00,3453.61000000,3464.78000000,3453.60000000,3464.16000000,25736256
1/2/2025,19:15:00,3464.16000000,3469.90000000,3460.13000000,3465.43000000,16845061
1/2/2025,19:30:00,3465.43000000,3473.79000000,3464.43000000,3469.57000000,20595914
1/2/2025,19:45:00,3469.56000000,3469.56000000,3457.68000000,3464.34000000,13337720
1/2/2025,20:00:00,3464.35000000,3468.56000000,3458.65000000,3462.32000000,9849139
1/2/2025,20:15:00,3462.32000000,3469.15000000,3462.32000000,3467.63000000,6082085
1/2/2025,20:30:00,3467.63000000,3474.90000000,3462.84000000,3467.56000000,16317749
1/2/2025,20:45:00,3467.56000000,3469.66000000,3453.54000000,3455.47000000,13153321
1/2/2025,21:00:00,3455.47000000,3460.93000000,3451.00000000,3452.17000000,12165486
1/2/2025,21:15:00,3452.20000000,3455.40000000,3441.96000000,3446.18000000,29432642
1/2/2025,21:30:00,3446.18000000,3453.02000000,3445.17000000,3452.37000000,9755333
1/2/2025,21:45:00,3452.38000000,3454.55000000,3447.04000000,3450.39000000,6266132
1/2/2025,22:00:00,3450.39000000,3454.91000000,3447.26000000,3453.74000000,5020482
1/2/2025,22:15:00,3453.75000000,3453.75000000,3445.00000000,3446.60000000,8756748
1/2/2025,22:30:00,3446.59000000,3446.60000000,3420.00000000,3434.46000000,43623831
1/2/2025,22:45:00,3434.46000000,3440.58000000,3431.50000000,3439.10000000,13022105
1/2/2025,23:00:00,3439.09000000,3443.84000000,3436.33000000,3440.00000000,7557054
1/2/2025,23:15:00,3440.00000000,3445.00000000,3437.00000000,3441.81000000,10437937
1/2/2025,23:30:00,3441.81000000,3451.34000000,3440.80000000,3450.14000000,9280140
1/2/2025,23:45:00,3450.14000000,3456.41000000,3450.14000000,3451.68000000,11311568
1/3/2025,00:00:00,3451.67000000,3455.52000000,3447.37000000,3454.83000000,7828492
1/3/2025,00:15:00,3454.83000000,3456.78000000,3449.98000000,3449.98000000,8754759
1/3/2025,00:30:00,3449.98000000,3466.00000000,3445.68000000,3461.93000000,26558503
1/3/2025,00:45:00,3461.93000000,3466.24000000,3451.49000000,3453.13000000,13160305
1/3/2025,01:00:00,3453.13000000,3455.21000000,3446.75000000,3448.79000000,8928280
1/3/2025,01:15:00,3448.79000000,3452.24000000,3442.10000000,3448.26000000,16108321
1/3/2025,01:30:00,3448.26000000,3458.25000000,3445.07000000,3458.25000000,21953908
1/3/2025,01:45:00,3458.25000000,3459.02000000,3448.89000000,3452.36000000,10160118
1/3/2025,02:00:00,3452.37000000,3465.58000000,3451.50000000,3464.35000000,29388759
1/3/2025,02:15:00,3464.35000000,3469.81000000,3459.78000000,3469.31000000,13456701
1/3/2025,02:30:00,3469.31000000,3476.48000000,3467.75000000,3473.81000000,27666673
1/3/2025,02:45:00,3473.80000000,3474.11000000,3463.61000000,3465.00000000,8850891
1/3/2025,03:00:00,3465.01000000,3466.77000000,3455.92000000,3456.49000000,9765811
1/3/2025,03:15:00,3456.54000000,3462.49000000,3455.55000000,3456.66000000,10460351
1/3/2025,03:30:00,3456.66000000,3461.84000000,3455.04000000,3458.70000000,6973537
1/3/2025,03:45:00,3458.70000000,3465.00000000,3456.97000000,3464.51000000,14326604
1/3/2025,04:00:00,3464.51000000,3471.96000000,3464.50000000,3469.33000000,11076085
1/3/2025,04:15:00,3469.33000000,3470.10000000,3463.81000000,3466.02000000,8315105
1/3/2025,04:30:00,3466.02000000,3466.55000000,3459.19000000,3460.78000000,6712267
1/3/2025,04:45:00,3460.78000000,3462.08000000,3455.00000000,3458.14000000,13005525
1/3/2025,05:00:00,3458.14000000,3461.09000000,3455.86000000,3457.74000000,11547588
1/3/2025,05:15:00,3457.75000000,3459.99000000,3448.45000000,3454.00000000,20657406
1/3/2025,05:30:00,3453.99000000,3458.11000000,3443.72000000,3448.63000000,22771919
1/3/2025,05:45:00,3448.63000000,3453.00000000,3445.91000000,3450.37000000,8264363
1/3/2025,06:00:00,3450.38000000,3457.47000000,3447.83000000,3455.13000000,13681877
1/3/2025,06:15:00,3455.13000000,3460.91000000,3452.35000000,3457.39000000,9564813
1/3/2025,06:30:00,3457.38000000,3458.00000000,3445.89000000,3448.42000000,10261864
1/3/2025,06:45:00,3448.41000000,3451.90000000,3446.68000000,3449.87000000,6447759
1/3/2025,07:00:00,3449.87000000,3450.09000000,3441.01000000,3441.88000000,17605100
1/3/2025,07:15:00,3441.88000000,3443.51000000,3433.24000000,3437.58000000,24137428
1/3/2025,07:30:00,3437.57000000,3443.50000000,3431.67000000,3434.51000000,16288682
1/3/2025,07:45:00,3434.52000000,3440.07000000,3431.01000000,3437.21000000,22519523
1/3/2025,08:00:00,3437.21000000,3438.71000000,3432.51000000,3432.62000000,13155926
1/3/2025,08:15:00,3432.62000000,3435.41000000,3428.90000000,3433.95000000,15248689
1/3/2025,08:30:00,3433.96000000,3441.96000000,3430.33000000,3430.59000000,18218784
