Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL
22,LONG,2025-01-15 13:30:00,3216.80,2025-01-15 14:00:00,3278.85,70.266016,4360.27,1.93,228.21,4132.06
23,LONG,2025-01-17 01:30:00,3339.99,2025-01-17 01:45:00,3379.91,68.075525,2717.71,1.20,228.73,2488.98
23,LONG,2025-01-17 01:30:00,3339.99,2025-01-17 02:00:00,3384.71,68.075525,3044.34,1.34,228.89,2815.44
24,LONG,2025-01-17 08:45:00,3392.81,2025-01-17 10:15:00,3425.32,87.979714,2859.87,0.96,299.93,2559.94
24,LONG,2025-01-17 08:45:00,3392.81,2025-01-17 10:30:00,3421.52,87.979714,2525.67,0.85,299.76,2225.91
25,LONG,2025-01-17 15:15:00,3447.93,2025-01-17 15:30:00,3426.53,119.597582,-2559.01,-0.62,411.08,-2970.10
26,LONG,2025-01-17 16:30:00,3439.74,2025-01-17 17:45:00,3413.37,94.139511,-2482.78,-0.77,322.57,-2805.36
27,SHORT,2025-01-19 04:30:00,3301.90,2025-01-19 05:15:00,3261.71,87.334945,3509.99,1.22,286.62,3223.38
28,SHORT,2025-01-19 08:45:00,3229.15,2025-01-19 09:15:00,3172.43,125.844656,7137.91,1.76,402.80,6735.11
29,LONG,2025-01-20 15:30:00,3373.66,2025-01-20 16:00:00,3329.46,59.775186,-2642.23,-1.31,200.34,-2842.57
30,SHORT,2025-01-21 01:30:00,3214.20,2025-01-21 02:00:00,3253.16,66.013708,-2571.59,-1.21,213.47,-2785.06
31,SHORT,2025-01-21 15:15:00,3274.09,2025-01-21 15:30:00,3300.25,95.662564,-2502.20,-0.80,314.46,-2816.66
32,LONG,2025-01-22 03:00:00,3343.33,2025-01-22 04:30:00,3323.76,124.216518,-2430.85,-0.59,414.08,-2844.93
33,SHORT,2025-01-22 19:00:00,3248.92,2025-01-22 19:30:00,3267.17,129.211030,-2357.58,-0.56,420.98,-2778.56
34,SHORT,2025-01-22 21:15:00,3247.85,2025-01-23 02:30:00,3203.70,60.404040,2666.84,1.36,194.85,2471.99
34,SHORT,2025-01-22 21:15:00,3247.85,2025-01-23 03:15:00,3230.79,60.404040,1030.54,0.53,195.67,834.88
35,SHORT,2025-01-23 10:00:00,3195.92,2025-01-23 10:30:00,3211.22,154.256286,-2360.52,-0.48,494.17,-2854.69
36,SHORT,2025-01-23 10:45:00,3190.51,2025-01-23 11:15:00,3206.23,145.457260,-2286.09,-0.49,465.23,-2751.32
37,LONG,2025-01-24 05:00:00,3332.72,2025-01-24 06:00:00,3409.23,96.553192,7387.28,2.30,325.48,7061.81
38,SHORT,2025-01-27 16:45:00,3089.68,2025-01-27 19:00:00,3053.68,80.444867,2896.02,1.17,247.10,2648.91
